<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
META.US,60,20220131,220000,311.11,313.79,308.88,313.26,4604894,0
META.US,60,20220201,160000,314.555,316.99,312.12,315.165,2026784,0
META.US,60,20220201,170000,315.19,315.535,312.15,314.57,1665237,0
META.US,60,20220201,180000,314.53,317.08,313.93,316.7,1228697,0
META.US,60,20220201,190000,316.67,317.6,315.5,317.252,1047658,0
META.US,60,20220201,200000,317.265,317.43,315.75,316.646,832596,0
META.US,60,20220201,210000,316.68,317.42,315.49,316.526,717164,0
META.US,60,20220201,220000,316.47,319.66,316.26,319,3138025,0
META.US,60,20220202,160000,327.82,328,320.01,321.65,3641052,0
META.US,60,20220202,170000,321.78,324.45,320.45,320.88,2727855,0
META.US,60,20220202,180000,320.89,321.2,316.875,319.63,2882950,0
META.US,60,20220202,190000,319.69,324.576,319,324.26,3768095,0
META.US,60,20220202,200000,324.24,324.29,321.37,322.9,1845787,0
META.US,60,20220202,210000,322.9,324.25,320.96,323.075,2537915,0
META.US,60,20220202,220000,323.075,324.76,322,323,5285775,0
META.US,60,20220203,160000,244.645,246.427,237.07,241.26,32137384,0
META.US,60,20220203,170000,241.225,248,241.1,244.315,22411533,0
META.US,60,20220203,180000,244.31,246.97,241.5,241.53,15829559,0
META.US,60,20220203,190000,241.52,242.04,238.26,239.6,13192965,0
META.US,60,20220203,200000,239.58,240.415,238.12,238.226,9950054,0
META.US,60,20220203,210000,238.225,241,237.1,237.32,11774764,0
META.US,60,20220203,220000,237.359,238.1,235.745,237.6,18705199,0
META.US,60,20220204,160000,234.97,236.45,230.5,234.5,9630760,0
META.US,60,20220204,170000,234.61,236.09,231.62,232.23,8384196,0
META.US,60,20220204,180000,232.24,233.71,230.11,232.72,7906828,0
META.US,60,20220204,190000,232.711,235.47,232.1,234.91,5784981,0
META.US,60,20220204,200000,234.9,241.3,234.61,240.447,7587078,0
META.US,60,20220204,210000,240.445,242.61,237.39,239.99,12220066,0
META.US,60,20220204,220000,240,240.69,236.72,237.09,9365420,0
META.US,60,20220207,160000,237.7,238.3,233.13,233.31,5926356,0
META.US,60,20220207,170000,233.37,233.44,230.33,231.28,10008960,0
META.US,60,20220207,180000,231.27,232.22,226.52,227.552,10640152,0
META.US,60,20220207,190000,227.52,227.74,224.07,224.38,10108428,0
META.US,60,20220207,200000,224.37,226.685,224.33,226.12,8575441,0
META.US,60,20220207,210000,226.13,227.99,225.34,227.415,7011040,0
META.US,60,20220207,220000,227.4,228.52,224.01,224.91,13377531,0
META.US,60,20220208,160000,220.85,225.77,219.77,225.27,9063535,0
META.US,60,20220208,170000,225.31,225.46,220.63,224.25,11843095,0
META.US,60,20220208,180000,224.25,224.68,222.05,222.99,6533936,0
META.US,60,20220208,190000,223,223.38,220.18,220.29,8663518,0
META.US,60,20220208,200000,220.26,220.36,218.108,218.93,9277666,0
META.US,60,20220208,210000,218.93,219.9,216.65,217.239,9237840,0
META.US,60,20220208,220000,217.22,221.23,216.15,220.18,15385719,0
META.US,60,20220209,160000,224.2,227.47,222.21,225.08,9231017,0
META.US,60,20220209,170000,225.078,226.52,224,225.538,8197009,0
META.US,60,20220209,180000,225.55,227.2,225.15,226.43,6414925,0
META.US,60,20220209,190000,226.426,230.38,225.22,228.765,11096723,0
META.US,60,20220209,200000,228.8,231.49,228.59,231.43,7933742,0
META.US,60,20220209,210000,231.44,233.15,231.41,232.51,8803086,0
META.US,60,20220209,220000,232.5,233.37,230.81,232,10544782,0
META.US,60,20220210,160000,228.27,235,226.7,233.72,5402980,0
META.US,60,20220210,170000,233.71,234.78,230.59,231.02,6794821,0
META.US,60,20220210,180000,231.01,232.55,229.42,232.2,4476850,0
META.US,60,20220210,190000,232.218,232.79,229.56,230.96,3606941,0
META.US,60,20220210,200000,230.87,231.469,228.16,229.82,3428697,0
META.US,60,20220210,210000,229.835,230.2,228.22,228.6,2987763,0
META.US,60,20220210,220000,228.56,229.67,226.7,227.93,4737693,0
META.US,60,20220211,160000,228.47,230.42,226.51,226.825,2838770,0
META.US,60,20220211,170000,226.825,227.8,224.42,225.08,5343765,0
META.US,60,20220211,180000,225.04,226.31,223.61,224.88,3621597,0
META.US,60,20220211,190000,224.835,224.96,222.81,223.03,2631869,0
